iteration,timestamp,no_of_UAV,no_of_Fail_UAV,Coverage,network_efficiency,num_components
4,25,10,0,67.5,0.7296,1
4,26,10,0,79.0,0.6944,1
4,27,10,0,76.5,0.6463,1
4,28,10,0,69.0,0.763,1
4,29,10,0,83.0,0.7519,1
4,30,11,0,44.0,0.3455,3
4,31,11,0,59.5,0.6364,1
4,32,11,0,76.5,0.6424,1
4,33,11,0,90.0,0.6606,1
4,34,11,0,87.5,0.697,1
4,35,12,0,90.5,0.6793,1
4,36,12,0,68.5,0.5955,1
4,37,12,0,72.0,0.6369,1
4,38,12,0,79.5,0.6742,1
4,39,12,0,90.0,0.6705,1
4,40,13,0,81.0,0.6838,1
4,41,13,0,86.5,0.6944,1
4,42,13,0,87.0,0.7244,1
4,43,13,0,95.0,0.7051,1
4,44,13,0,80.0,0.719,1
4,45,14,0,22.5,0.3548,4
4,46,14,0,41.5,0.5604,1
4,47,14,0,76.0,0.5432,2
4,48,14,0,77.0,0.4414,3
4,49,14,0,83.0,0.5291,2
4,50,15,0,94.0,0.596,2
4,51,15,0,80.0,0.6429,1
4,52,15,0,87.0,0.6603,1
4,53,14,1,91.0,0.7,1
4,54,14,1,88.5,0.6548,1
4,55,12,4,88.5,0.6548,1
4,56,12,4,88.0,0.6018,1
4,57,12,4,87.0,0.5859,2
4,58,12,4,89.5,0.7525,1
4,59,11,5,85.0,0.6907,1
4,60,11,6,84.0,0.6705,1
4,61,10,7,84.0,0.7015,1
4,62,10,7,75.0,0.7074,1
4,63,10,7,78.5,0.7778,1
4,64,10,7,79.5,0.7259,1
4,65,11,7,79.5,0.6515,2
4,66,10,8,81.5,0.7407,1
4,67,10,8,84.0,0.7815,1
4,68,10,8,80.0,0.6463,1
4,69,10,8,78.0,0.7296,1
4,70,10,9,77.0,0.7,1
4,71,10,9,82.5,0.7296,1
4,72,10,9,72.0,0.7556,1
4,73,9,10,92.0,0.7444,1
4,74,9,10,87.0,0.787,1
4,75,9,10,77.0,0.7593,1
5,0,5,0,0.0,1.0,1
5,1,5,0,17.0,0.7167,1
5,2,5,0,38.0,0.6,2
5,3,5,0,43.5,0.55,2
5,4,5,0,44.5,0.9,1
5,5,6,0,52.0,0.6,2
5,6,6,0,51.0,0.8,1
5,7,6,0,65.5,0.8333,1
5,8,6,0,69.5,0.8333,1
