iteration,time_step,coverage_map,score_exchange,component_query,component_response,death_warning,total_messages
2,1,0,12,12,12,0,36
2,2,0,10,0,0,0,10
2,3,0,12,0,0,0,12
2,4,0,20,0,0,0,20
2,5,0,14,0,0,0,14
2,6,0,20,4,4,0,28
2,7,0,16,0,0,0,16
2,8,0,20,0,0,0,20
2,9,0,18,0,0,0,18
2,10,0,20,0,0,0,20
2,11,0,26,0,0,0,26
2,12,0,32,0,0,0,32
2,13,0,22,0,0,0,22
2,14,0,22,0,0,0,22
2,15,0,28,0,0,0,28
2,16,0,18,3,3,0,24
2,17,0,32,0,0,0,32
2,18,0,26,0,0,0,26
2,19,0,24,0,0,0,24
2,20,0,20,0,0,0,20
2,21,0,42,7,7,0,56
2,22,0,26,0,0,0,26
2,23,0,38,0,0,0,38
2,24,0,32,0,0,0,32
2,25,0,26,0,0,0,26
2,26,0,32,2,2,0,36
2,27,0,28,0,0,0,28
2,28,0,34,0,0,0,34
2,29,0,38,0,0,0,38
2,30,0,36,0,0,0,36
2,31,0,32,0,0,0,32
2,32,0,24,0,0,0,24
2,33,0,42,0,0,0,42
2,34,0,24,0,0,0,24
2,35,0,44,0,0,0,44
2,36,0,52,2,2,0,56
2,37,0,58,0,0,0,58
2,38,0,50,0,0,0,50
2,39,0,44,0,0,0,44
2,40,0,46,0,0,0,46
2,41,0,56,4,4,0,64
2,42,0,54,0,0,0,54
2,43,0,68,0,0,0,68
2,44,0,62,0,0,0,62
2,45,0,60,0,0,0,60
2,46,0,46,1,1,0,48
2,47,0,48,0,0,0,48
