iteration,time_step,uav_id,death_type,final_energy,neighbors_notified,replacement_needed
25,66,6,ENERGY_DEPLETION,0,0,Yes
25,74,13,STOCHASTIC_FAILURE,65020.72,4,Yes
25,74,13,ENERGY_DEPLETION,0,0,Yes
25,75,7,ENERGY_DEPLETION,0,0,Yes
25,75,8,ENERGY_DEPLETION,0,0,Yes
26,52,4,ENERGY_DEPLETION,0,0,Yes
26,55,0,ENERGY_DEPLETION,0,0,Yes
26,55,1,ENERGY_DEPLETION,0,0,Yes
26,55,2,ENERGY_DEPLETION,0,0,Yes
26,56,3,ENERGY_DEPLETION,0,0,Yes
26,63,5,ENERGY_DEPLETION,0,0,Yes
26,66,6,ENERGY_DEPLETION,0,0,Yes
26,69,7,ENERGY_DEPLETION,0,0,Yes
27,53,8,STOCHASTIC_FAILURE,50455.69,5,Yes
27,53,1,ENERGY_DEPLETION,0,0,Yes
27,53,8,ENERGY_DEPLETION,0,0,Yes
27,54,0,ENERGY_DEPLETION,0,0,Yes
27,54,2,ENERGY_DEPLETION,0,0,Yes
27,54,4,ENERGY_DEPLETION,0,0,Yes
27,55,3,ENERGY_DEPLETION,0,0,Yes
27,64,5,ENERGY_DEPLETION,0,0,Yes
27,64,6,ENERGY_DEPLETION,0,0,Yes
27,71,7,ENERGY_DEPLETION,0,0,Yes
28,24,6,STOCHASTIC_FAILURE,94669.23,3,Yes
28,24,6,ENERGY_DEPLETION,0,0,Yes
28,52,0,ENERGY_DEPLETION,0,0,Yes
28,56,1,ENERGY_DEPLETION,0,0,Yes
28,57,2,ENERGY_DEPLETION,0,0,Yes
28,57,4,ENERGY_DEPLETION,0,0,Yes
28,60,3,ENERGY_DEPLETION,0,3,Yes
28,61,5,ENERGY_DEPLETION,0,0,Yes
28,68,16,STOCHASTIC_FAILURE,110713.54,1,Yes
28,68,16,ENERGY_DEPLETION,0,0,Yes
28,74,14,STOCHASTIC_FAILURE,71613.79,7,Yes
28,74,14,ENERGY_DEPLETION,0,0,Yes
28,75,7,ENERGY_DEPLETION,0,0,Yes
29,36,5,STOCHASTIC_FAILURE,53806.02,4,Yes
29,36,5,ENERGY_DEPLETION,0,0,Yes
29,52,1,ENERGY_DEPLETION,0,0,Yes
29,52,3,ENERGY_DEPLETION,0,0,Yes
29,56,0,ENERGY_DEPLETION,0,0,Yes
29,56,2,ENERGY_DEPLETION,0,0,Yes
29,57,4,ENERGY_DEPLETION,0,0,Yes
29,63,12,STOCHASTIC_FAILURE,73578.05,2,Yes
29,63,12,ENERGY_DEPLETION,0,0,Yes
29,69,6,ENERGY_DEPLETION,0,0,Yes
29,71,7,ENERGY_DEPLETION,0,7,Yes
30,53,0,ENERGY_DEPLETION,0,0,Yes
30,55,1,ENERGY_DEPLETION,0,0,Yes
30,55,3,ENERGY_DEPLETION,0,0,Yes
30,56,2,ENERGY_DEPLETION,0,0,Yes
30,58,4,ENERGY_DEPLETION,0,0,Yes
30,60,5,ENERGY_DEPLETION,0,0,Yes
30,64,6,ENERGY_DEPLETION,0,0,Yes
30,71,7,ENERGY_DEPLETION,0,0,Yes
30,75,8,ENERGY_DEPLETION,0,0,Yes
31,17,3,STOCHASTIC_FAILURE,91846.26,1,Yes
31,17,3,ENERGY_DEPLETION,0,0,Yes
31,54,0,ENERGY_DEPLETION,0,0,Yes
31,54,2,ENERGY_DEPLETION,0,0,Yes
31,56,1,ENERGY_DEPLETION,0,3,Yes
31,57,4,ENERGY_DEPLETION,0,0,Yes
31,58,5,ENERGY_DEPLETION,0,0,Yes
31,66,6,ENERGY_DEPLETION,0,0,Yes
31,72,7,ENERGY_DEPLETION,0,0,Yes
32,47,9,STOCHASTIC_FAILURE,74242.69,2,Yes
32,47,9,ENERGY_DEPLETION,0,0,Yes
32,55,1,ENERGY_DEPLETION,0,0,Yes
32,55,2,ENERGY_DEPLETION,0,0,Yes
32,55,4,ENERGY_DEPLETION,0,0,Yes
32,56,3,ENERGY_DEPLETION,0,0,Yes
32,57,0,ENERGY_DEPLETION,0,0,Yes
32,63,5,ENERGY_DEPLETION,0,0,Yes
32,66,6,ENERGY_DEPLETION,0,0,Yes
32,74,7,ENERGY_DEPLETION,0,0,Yes
33,18,5,STOCHASTIC_FAILURE,94786.7,4,Yes
33,18,5,ENERGY_DEPLETION,0,0,Yes
33,53,0,ENERGY_DEPLETION,0,0,Yes
33,53,1,ENERGY_DEPLETION,0,0,Yes
33,54,2,ENERGY_DEPLETION,0,0,Yes
33,55,3,ENERGY_DEPLETION,0,0,Yes
33,56,4,ENERGY_DEPLETION,0,0,Yes
33,63,6,ENERGY_DEPLETION,0,0,Yes
33,71,7,ENERGY_DEPLETION,0,0,Yes
33,75,8,ENERGY_DEPLETION,0,0,Yes
34,53,0,ENERGY_DEPLETION,0,0,Yes
34,54,3,ENERGY_DEPLETION,0,0,Yes
34,56,1,ENERGY_DEPLETION,0,0,Yes
34,56,4,ENERGY_DEPLETION,0,0,Yes
34,57,2,ENERGY_DEPLETION,0,0,Yes
34,63,5,ENERGY_DEPLETION,0,0,Yes
34,63,6,ENERGY_DEPLETION,0,0,Yes
34,71,7,ENERGY_DEPLETION,0,0,Yes
35,56,0,ENERGY_DEPLETION,0,5,Yes
35,56,1,ENERGY_DEPLETION,0,3,Yes
